record_id,application_start_date,product_type,application_complete_date,policy_number,purchase_status,application_approval_decision_date,application_approval_decision,policy_purchase_date,user_age,user_gender,user_income,premium_class,policy_length_years,policy_coverage_amount,policy_monthly_premiums,lead_source
13935532839,2023-06-30 22:13,Term Life,,,,,,,47,M,,,,,31.4,Affiliate
13935521566,2023-06-30 22:03,Term Life,,,,,,,51,F,,,,,22.25,Facebook Paid
13931831117,2023-06-30 21:29,Term Life,2023-06-30,1559849,Pending,2023-06-30,Approved,,47,F,14000,Non-Tobacco User,15,250000,30.52,Google Paid
13934591842,2023-06-30 20:42,Term Life,,,,,,,45,M,,,,,45.76,Direct
13931663418,2023-06-30 20:37,Term Life,,,,,,,45,M,,,,,50.27,Direct
13929947511,2023-06-30 20:22,Term Life,2023-07-01,1559845,Purchased,2023-06-30,Approved,2023-06-30,41,M,147000,Non-Tobacco User,25,1000000,141.47,Mortgage
13931555349,2023-06-30 20:16,Term Life,,,,,,,55,M,,,,,56.38,Facebook Paid
13931436606,2023-06-30 20:03,Term Life,2023-07-01,1559847,Purchased,2023-06-30,Approved,2023-07-04,36,F,127000,Non-Tobacco User,25,1000000,64.09,Mortgage
13931433033,2023-06-30 19:27,Term Life,2023-06-30,1559843,Customer declined,2023-06-30,Approved,,54,M,90000,Non-Tobacco User,20,250000,111.06,Facebook Paid
13931375933,2023-06-30 19:27,Term Life,2023-06-30,1559839,Pending,2023-06-30,Approved,,40,M,90000,Non-Tobacco User,25,800000,104.09,SEO
13929915911,2023-06-30 19:05,Term Life,2023-06-30,1559833,Application declined,2023-06-30,Declined,,34,F,60000,Non-Tobacco User,30,300000,27.11,Facebook Paid
13929698337,2023-06-30 19:01,Term Life,2023-06-30,1559836,Customer declined,,Application cancelled,,54,F,12000,Tobacco User,15,150000,82.11,Facebook Paid
13930933832,2023-06-30 18:26,Term Life,2023-06-30,1559841,Application declined,2023-07-04,Declined,,40,F,8000,Non-Tobacco User,25,800000,75.86,SEO
13931226426,2023-06-30 18:25,Term Life,2023-06-30,1559834,Pending,2023-07-04,Approved,,38,M,40000,Non-Tobacco User,30,300000,71.69,Facebook Paid
